id,realtionship_status,industry,genre,targeted_sex,average_runtime(minutes_per_week),airtime,airlocation,ratings,expensive,money_back_guarantee,netgain
28237,Never-married,Political,Comedy,Male,50,Morning,United-States,0.027464672000000002,Low,No,0
24181,Married-civ-spouse,Pharma,Comedy,Male,25,Daytime,United-States,0.064596442,Low,No,0
22514,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,Low,Yes,0
16294,Separated,Political,Comedy,Female,36,Morning,United-States,0.027464672000000002,Medium,No,0
8734,Married-civ-spouse,Pharma,Comedy,Male,30,Daytime,United-States,0.027464672000000002,Low,Yes,0
13510,Divorced,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
9548,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
1820,Divorced,Political,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
3474,Married-civ-spouse,Pharma,Comedy,Male,99,Daytime,Yugoslavia,0.09844101,Low,Yes,1
28250,Never-married,Political,Infomercial,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
27947,Never-married,Auto,Comedy,Female,20,Primetime,United-States,0.027464672000000002,Low,Yes,0
26019,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,No,0
20226,Married-civ-spouse,Pharma,Comedy,Male,50,Daytime,United-States,0.027464672000000002,Low,No,0
27538,Never-married,Auto,Infomercial,Male,15,Primetime,United-States,0.027464672000000002,Low,No,0
7892,Married-civ-spouse,Other,Comedy,Female,15,Daytime,United-States,0.027464672000000002,Low,Yes,0
5516,Married-civ-spouse,Pharma,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
23652,Never-married,ClassAction,Direct,Female,40,Morning,United-States,0.027464672000000002,Low,Yes,0
26777,Married-civ-spouse,Pharma,Comedy,Male,65,Primetime,United-States,0.027464672000000002,Low,Yes,0
20835,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.102233936,Low,Yes,1
29141,Never-married,Auto,Comedy,Female,38,Primetime,United-States,0.027464672000000002,High,No,0
30191,Married-civ-spouse,Pharma,Infomercial,Male,56,Primetime,United-States,0.027464672000000002,High,Yes,0
23965,Married-civ-spouse,Pharma,Comedy,Male,84,Primetime,United-States,0.027464672000000002,Low,Yes,0
15628,Divorced,Auto,Comedy,Male,50,Primetime,United-States,0.027464672000000002,High,No,1
26065,Divorced,Auto,Comedy,Male,50,Primetime,United-States,0.027464672000000002,Low,Yes,0
8635,Never-married,Political,Comedy,Male,40,Morning,United-States,0.027464672000000002,High,No,0
17691,Never-married,Auto,Comedy,Female,15,Morning,United-States,0.027464672000000002,High,Yes,0
1141,Widowed,Entertainment,Comedy,Female,32,Primetime,United-States,0.027464672000000002,Low,Yes,0
23480,Married-civ-spouse,Pharma,Comedy,Male,40,Primetime,United-States,0.027464672000000002,Low,Yes,0
26929,Never-married,Auto,Comedy,Female,30,Morning,United-States,0.027464672000000002,High,Yes,0
16862,Never-married,Auto,Comedy,Male,40,Primetime,United-States,0.074020404,Medium,No,1
29807,Never-married,Political,Comedy,Female,30,Morning,United-States,0.027464672000000002,Low,No,0
5228,Married-civ-spouse,Pharma,Comedy,Male,60,Primetime,United-States,0.027464672000000002,Medium,No,0
